Ticker,ISIN,ETF Name,Category,Type,Domicile,Date Oldest,Date Newest,Years Covered,Data per Year,Avg Volume (M EUR)
LCFE.MI,JE00B2NFTD12,WisdomTree Coffee 2X Daily Leveraged ETC,,Exchange-Traded Commodity,,2012-01-06,2023-11-10,11.84394250513347,254.05391816920945,1.7662606699250856
COFF.MI,GB00B15KXP72,Wisdomtree Coffee ETC,Unclassified,Exchange-Traded Commodity,,2007-04-20,2023-11-10,16.55852156057495,254.12896825396825,0.36107645288004564
COTN.MI,GB00B15KXT11,Wisdomtree Commodity Cotton ETC,Unclassified,Exchange-Traded Commodity,,2007-04-20,2023-11-10,16.55852156057495,246.33841765873015,0.26597829829706454
LOIL.MI,JE00BDD9Q840,Wisdomtree Commodity Securities ETC,,Exchange-Traded Commodity,,2009-05-26,2023-09-28,14.340862422997947,254.44773768613973,527.4948337222576
COPA.MI,GB00B15KXQ89,Wisdomtree Commodity Securities ETC,Unclassified,Exchange-Traded Commodity,,2007-04-20,2023-11-10,16.55852156057495,253.76661706349205,9.749712260285863
ALMN.MI,GB00B15KXN58,Wisdomtree Commodity Securities ETC,Unclassified,Exchange-Traded Commodity,,2007-04-20,2023-11-10,16.55852156057495,248.63330853174602,0.3793053802655047
NICK.MI,GB00B15KY211,Wisdomtree Commodity Securities ETC,Unclassified,Exchange-Traded Commodity,,2007-04-20,2023-11-10,16.55852156057495,253.88740079365078,3.855151770366696
SLVR.MI,GB00B15KY328,Wisdomtree Commodity Securities ETC,Unclassified,Exchange-Traded Commodity,,2007-04-23,2023-11-10,16.550308008213552,249.5421836228288,4.283766292282767
CORN.MI,GB00B15KXS04,Wisdomtree Commodity Securities ETC,Unclassified,Exchange-Traded Commodity,,2007-04-20,2023-11-10,16.55852156057495,252.4983878968254,0.20672698975385345
BULL.MI,GB00B15KXX56,Wisdomtree Commodity Securities ETC,Unclassified,Exchange-Traded Commodity,,2007-04-20,2023-11-10,16.55852156057495,253.94779265873015,6.537736169562878
SOYO.MI,GB00B15KY435,Wisdomtree Commodity Securities ETC,Unclassified,Exchange-Traded Commodity,,2007-04-20,2023-11-09,16.555783709787818,230.91628080039686,0.34563051584217347
AIGO.MI,GB00B15KYC19,Wisdomtree Commodity Securities ETC,Unclassified,Exchange-Traded Commodity,,2007-04-20,2023-11-09,16.555783709787818,246.3187531007111,1.1513256409027601
LCOP.MI,JE00B2NFTF36,WisdomTree Copper 2X Daily Leveraged ETC,,Exchange-Traded Commodity,,2009-05-26,2023-11-10,14.458590006844627,254.2433251278167,2.5322198676047414
3HCL.MI,IE00B8JVMZ80,Wisdomtree Copper 3X Daily Leveraged,,Exchange-Traded Commodity,,2014-07-29,2023-11-10,9.284052019164955,254.30706281332942,11.576370501979309
3HCS.MI,IE00B8KD3F05,Wisdomtree Copper 3X Daily Short,,Exchange-Traded Commodity,,2019-09-17,2023-11-10,4.147843942505133,253.86683168316833,4.772456964630199
WGLDA.MI,JE00BN2CJ301,WisdomTree Core Physical Gold ETC,,Exchange-Traded Commodity,,2021-02-15,2023-11-10,2.732375085557837,227.2747995991984,23.89892777309092
LCOR.MI,JE00B2NFTG43,WisdomTree Corn 2X Daily Leveraged ETC,Unclassified,Exchange-Traded Commodity,,2012-01-09,2023-11-10,11.835728952772074,251.35756419153364,0.47522601030296624
WCBR.MI,IE00BLPK3577,WisdomTree Cybersecurity UCITS ETF USD Acc,Equity Global,Equity ETF,Ireland,2021-01-29,2023-11-10,2.7789185489390826,256.93448275862073,3.259320289536415
SBRT.MI,JE00B78DPL57,Wisdomtree Daily Brent Crude ETC,Unclassified,Exchange-Traded Commodity,,2012-11-14,2023-11-10,10.986995208761122,238.37272614004485,7.806835007466905
SCOP.MI,JE00B24DK645,Wisdomtree Daily Copper ETC,,Exchange-Traded Commodity,,2009-05-26,2023-11-08,14.453114305270363,223.27367872703164,3.1810270306454758
SSIL.MI,JE00B24DKK82,Wisdomtree Daily Silver ETC,,Exchange-Traded Commodity,,2009-05-26,2023-11-09,14.455852156057494,224.8224431818182,2.3269971328384047
3DEL.MI,IE00B878KX55,Wisdomtree Dax 3X Daily Leveraged,,Exchange-Traded Note,,2013-11-12,2023-11-10,9.99315537303217,254.17397260273972,125.3395273450825
3DES.MI,IE00B8GKPP93,Wisdomtree Dax 3X Daily Short,,Exchange-Traded Note,,2013-11-15,2023-09-28,9.867214236824093,253.8710460599334,4.12960273181105
XSOE.MI,IE00BM9TSP27,WisdomTree EM ex State Owd Entp ESG Scd U ETF Acc,Equity Emerging Mkts Global,Equity ETF,Ireland,2021-08-24,2023-11-08,2.206707734428474,50.754342431761785,0.3788707442648661
WTDEM.MI,IE00BQQ3Q067,WisdomTree Em Mkts Equity Income UCITS ETF,Equity Emerging Mkts Global,Equity ETF,Ireland,2015-01-20,2023-11-10,8.804928131416839,231.57486007462686,0.3938045541892521
DEMR.MI,IE00BDF12W49,WisdomTree Em Mkts Equity Income UCITS ETF Acc,Equity Emerging Mkts Global,Equity ETF,Ireland,2016-12-29,2023-11-10,6.863791923340178,83.48155165536498,0.34275011220682966
WTDGSE.MI,IE00BQZJBM26,WisdomTree Em Mkts SmallCap Dividend UCITS ETF,Equity Emerging Mkts Global,Equity ETF,Ireland,2015-01-20,2023-11-07,8.796714579055442,193.70868347338936,0.25881893198963024
3EML.MI,IE00BYTYHN28,Wisdomtree Emerging Markets 3X Daily Lev,,Exchange-Traded Note,,2016-03-21,2023-09-28,7.520876112251882,253.56088460138335,16.973342407790142
3EMS.MI,IE00BYTYHM11,Wisdomtree Emerging Markets 3X Daily Sho,,Exchange-Traded Note,,2016-04-21,2023-09-27,7.433264887063655,200.58480662983425,0.3748118163009091
BTBENE.MI,IE00BF4TWF63,Wisdomtree Energy Enhanced,,Exchange-Traded Commodity,,2019-03-01,2023-11-09,4.692676249144422,51.78281796966161,1.8730173855006251
AIGE.MI,GB00B15KYB02,WisdomTree Energy ETC,Unclassified,Exchange-Traded Commodity,,2007-04-20,2023-11-10,16.55852156057495,240.54079861111111,0.3989455729586747
WENT.MI,XS2425848053,WisdomTree Energy Transition Metals Securities ETC,,Exchange-Traded Commodity,,2022-04-21,2023-11-10,1.5550992470910336,123.46478873239435,0.18716198768000522
WCOE.MI,IE00BG88WG77,WisdomTree Enhanced Commodity UCITS ETF EUR HgdAcc,Commodity Blended,Commodity ETF,Ireland,2018-09-24,2023-09-25,5.002053388090349,139.94252873563218,1.0202981333181729
WCOA.MI,IE00BYMLZY74,WisdomTree Enhanced Commodity UCITS ETF USD Acc,Commodity Blended,Commodity ETF,Ireland,2016-06-10,2023-11-10,7.416837782340862,239.99446290143965,1.5057033671338331
3EUL.MI,IE00B7SD4R47,Wisdomtree Euro Stoxx 50 3X Daily Lever,,Exchange-Traded Note,,2013-11-04,2023-09-28,9.897330595482547,254.00788381742737,129.03219369203023
3EUS.MI,IE00B8JF9153,Wisdomtree Euro Stoxx 50 3X Daily Short,,Exchange-Traded Note,,2013-11-15,2023-11-10,9.984941820670773,254.0826021387442,5.461622214028769
WS5X.MI,XS2427362145,WisdomTree EURO STOXX 50 ETN,,Exchange-Traded Note,,2022-03-08,2023-09-28,1.5578370978781657,182.30404217926184,2.400263304974648
